21-364,Cornwall,dce,1420-02-05,1421-03-27
21-365,Kent,dce,1419-05-18,1419-06-13
21-366,Hampshire,man,1419-11-24,1420-04-03
21-368,Cumberland,dep,1419-10-20,1419-10-28
21-369,Gloucestershire,dep,1420-02-04,1420-02-27
21-370,Gloucestershire,dep,1419-11-14,1419-11-20
21-371,Bristol,dep,1418-10-20,1419-09-27
21-375,Yorkshire,dda,1420-02-10,1420-03-10
21-383,Herefordshire and the Adjacent March of Wales,dce,1420-05-18,1420-06-13
21-384,Middlesex,dce,1420-10-13,1420-10-25
21-385,Kent,dce,1420-01-16,1420-04-11
21-386,Northumberland,dce,1420-02-20,1420-06-20
21-387,Norfolk,dce,1420-10-24,1420-11-07
21-388,Calais,mel,1420-11-12,1421-02-12
21-389,Shropshire and the Adjacent March of Wales,man,1420-11-14,1421-03-18
21-390,Essex,dce,1420-10-28,1420-11-04
21-391,Middlesex,dce,1420-10-28,1420-11-08
21-393,Staffordshire,dce,1420-10-28,1421-01-11
21-394,Berkshire,dce,1420-10-20,1420-10-28
21-395,Hampshire,dce,1420-10-20,1420-11-16
21-396,Essex,dce,1419-10-26,1420-02-24
21-397,Essex,dev,1420-06-24,1420-07-13
21-398,Essex,dev,1420-11-17,1420-11-18
21-399,Essex,mel,1420-11-26,1420-12-14
21-400,Gloucestershire and the Adjacent March of Wales,dev,1420-11-05,1420-11-12
21-401,Essex,man,1420-07-05,1420-07-15
21-402,Sussex,mel,1420-02-09,1420-11-01
21-403A,Sussex,dce,1420-12-01,1421-01-05
21-403,Sussex,mel,1421-02-05,1421-02-16
21-404,Lincolnshire,dce,1420-04-22,1420-06-04
21-405,Northumberland,dce,1420-08-20,1420-09-04
21-406,Hertfordshire,dce,1420-10-12,1420-11-11
21-407,Northumberland,amot,1421-11-24,1422-03-21
21-408,Northumberland,qp,1422-07-14,1422-08-18
21-409,Northumberland,dce,1420-12-01,1420-12-19
21-410,Norfolk,dce,1420-10-24,1420-11-05
21-411,Northumberland,dce,1420-02-17,1420-05-23
21-412,Buckinghamshire,dce,1419-10-26,1420-04-27
21-413,Suffolk,dce,1420-10-24,1420-10-28
21-415,Northamptonshire,dce,1421-01-10,1421-03-11
21-416,Cambridgeshire,dce,1421-01-10,1421-03-08
21-417,Surrey,dce,1421-01-10,1421-02-08
21-418,Essex,dce,1420-12-03,1420-12-17
21-419,Northumberland,dce,1421-01-08,1421-03-13
21-420,Northumberland,mel,1421-05-05,1421-06-04
21-421,Northamptonshire,dce,1420-05-18,1420-05-30
21-422,Worcestershire,dev,1417-11-16,1421-01-09
21-423,Essex,dce,1420-11-16,1420-11-18
21-424,Worcestershire,dce,1420-04-24,1420-09-25
21-425,Huntingdonshire,dce,1418-07-18,1419-10-13
21-426,Huntingdonshire,mel,1420-02-24,1420-04-27
21-427,Wiltshire,dce,1419-12-18,1420-06-27
21-428,Somerset,dce,1420-07-20,1420-09-04
21-429,Herefordshire and the Adjacent March of Wales,dce,1420-07-20,1420-09-28
21-430,Essex,dce,1420-11-27,1420-12-17
21-431,Suffolk,wnedce,1420-07-01,1420-10-10
21-432,Essex,dce,1420-07-01,1420-11-05
21-433,Herefordshire and the Adjacent March of Wales,mel,1419-11-24,1420-09-24
21-434,Staffordshire,dce,1420-10-16,1420-09-06
21-435,Wiltshire,dce,1420-10-12,1420-11-13
21-436,Wiltshire,dce,1420-10-12,1420-11-13
21-437,Gloucestershire and the Adjacent March of Wales,dce,1420-08-04,1421-01-24
21-438,Somerset,dce,1420-10-12,1420-11-25
21-439,Somerset,mel,1421-02-26,1421-04-20
21-440,Oxfordshire,dce,1420-10-14,1420-11-18
21-441,Buckinghamshire,dce,1420-10-14,1420-10-23
21-443,Oxfordshire,dce,1420-10-16,1420-11-06
21-444,Sussex,dce,1420-10-16,1420-11-10
21-445,Kent,dce,1420-10-16,1420-11-12
21-446,Cornwall,dce,1420-10-16,1422-02-24
21-447,Northumberland,dce,1420-10-12,1420-11-23
21-448,Buckinghamshire,dce,1420-02-12,1420-04-02
21-449,Shropshire and the Adjacent March of Wales,dce,1420-10-24,1420-11-09
21-450,Suffolk,dce,1420-03-24,1420-07-01
21-451,Warwickshire,dce,1420-10-12,1420-11-05
21-453,Devon,dce,1420-12-08,1421-01-27
21-454,Wiltshire,dce,1420-10-28,1421-02-04
21-455,Dorset,dce,1420-10-28,1421-02-06
21-457,Lincolnshire,dce,1420-10-28,1421-04-04
21-458,Hertfordshire,dce,1420-10-28,1421-05-08
21-459,Cambridgeshire,dce,1420-10-28,1421-05-22
21-460,Bedfordshire,dce,1421-02-08,1421-03-28
21-461,Worcestershire,dce,1421-02-08,1421-04-25
21-462,Dorset,dce,1421-02-08,1421-04-30
21-463,Wiltshire,dce,1421-02-08,1421-05-01
21-464,Essex,dce,1420-10-20,1420-11-04
21-465,Middlesex,dce,1420-10-20,1420-11-08
21-467,Herefordshire,dce,1420-10-20,1420-11-20
21-468,Worcestershire,dce,1420-10-20,1420-11-11
21-469,Shropshire,dce,1420-10-20,1420-11-26
21-470,Norfolk,dce,1420-06-14,1420-09-09
21-472,Norfolk,mel,1420-11-04,1420-11-19
21-473,Yorkshire,dce,1420-07-06,1420-09-19
21-474,Cambridgeshire,dce,1420-06-14,1420-10-08
21-475,Northumberland,dce,1420-10-24,1420-12-23
21-476,Northumberland,mel,1422-07-10,1422-08-20
21-477,Wiltshire,dce,1420-06-24,1420-09-25
21-478,Cambridgeshire,dev,1421-02-05,1421-04-08
21-479,Dorset,dev,1420-11-20,1421-02-24
21-480,Norfolk,dev,1420-11-20,1421-01-21
21-481,Devon,dce,1420-06-12,1420-09-17
21-482,Devon,dce,1420-11-27,1421-01-08
21-483,Staffordshire,dce,1420-08-04,1420-10-02
21-484,Wiltshire,dce,1420-10-10,1420-11-08
21-485,Hampshire,dce,1420-10-09,1420-11-09
21-486,Northamptonshire,dce,1420-10-10,1420-10-28
21-487,Buckinghamshire,dce,1420-10-10,1420-10-21
21-488,Somerset,wnedce,1420-10-10,1420-11-04
21-489,Dorset,man,1420-03-24,1420-06-24
21-490,Staffordshire,dev,1420-09-27,1420-10-02
21-491,Staffordshire,dev,1420-12-13,1421-01-18
21-492,Wiltshire,dce,1420-10-18,1420-11-06
21-493,Wiltshire,dce,1420-06-18,1420-07-30
21-494,Yorkshire,dce,1420-02-16,1420-04-25
21-495,Northamptonshire,dce,1420-10-16,1420-11-04
21-496,Leicestershire,dce,1420-10-16,1420-11-02
21-498,Herefordshire and the Adjacent March of Wales,dce,1421-01-20,1421-09-23
21-499,Hertfordshire,dce,1421-01-20,1421-02-25
21-500,Staffordshire,dce,1420-08-14,1420-09-06
21-501,Staffordshire,mel,1420-10-11,1420-11-09
21-502,Oxfordshire,dce,1420-08-14,1420-09-05
21-503,Leicestershire,dce,1420-08-14,1420-09-17
21-504,Dorset,dce,1420-06-26,1420-06-24
21-505,Wiltshire,dce,1420-05-03,1420-06-13
21-506,Lincolnshire,dce,1420-11-20,1421-01-04
21-507,Yorkshire,dce,1420-11-20,1421-07-20
21-508,Wiltshire,dce,1420-10-28,1420-11-19
21-509,Staffordshire,dce,1420-09-23,1420-11-09
21-510,Worcestershire,dce,1420-09-23,1420-11-14
21-511,Worcestershire,dce,1420-04-24,1420-08-27
21-512,Cambridgeshire,dce,1420-04-24,1420-07-01
21-513,Shropshire and the Adjacent March of Wales,dce,1420-04-24,1420-06-19
21-514,Bedfordshire,dce,1420-04-24,1420-05-27
21-515,Warwickshire,dce,1420-10-28,1420-11-12
21-516,Worcestershire,dce,1420-10-28,1420-11-11
21-517,Nottinghamshire,amot,1421-01-01,1421-01-09
21-518,Suffolk,dce,1420-11-08,1420-11-12
21-520,Leicestershire,dce,1420-11-08,1420-11-28
